Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,0,0,15,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,842.867,0.549,222.326,0.0,-0.261
1932,0,1,42,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,364.901,0.804,221.381,0.0,-0.522
1932,0,2,74,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,471.347,0.745,220.272,0.0,-0.304
1932,0,3,40,0.08,0.973,0.0,0.719,0.0,0.478,0.478,370.732,0.801,221.446,0.0,-0.478
1932,0,4,61,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,331.338,0.821,220.71,0.0,-0.522
1932,0,5,47,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,501.273,0.73,221.204,0.0,-0.304
1932,0,6,15,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,389.495,0.791,222.346,0.0,-0.652
1932,0,7,53,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,146.119,0.921,220.99,0.0,-0.783
1932,0,8,4,0.1,0.973,0.0,0.719,0.0,0.609,0.609,527.297,0.718,222.721,0.0,-0.609
1932,0,9,77,0.08,0.973,0.0,0.719,0.0,0.609,0.609,332.641,0.82,220.171,0.0,-0.609
1932,1,0,60,0.08,0.973,0.0,0.719,0.0,0.522,0.522,332.128,0.821,220.748,0.0,-0.522
1932,1,1,62,0.04,0.975,0.0,0.724,0.0,0.217,0.217,518.484,0.72,220.682,0.0,-0.217
1932,1,2,31,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,352.362,0.811,221.778,0.0,-0.565
1932,1,3,18,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,796.659,0.573,222.234,0.0,-0.261
1932,1,4,16,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,674.281,0.639,222.288,0.0,-0.391
1932,1,5,51,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,148.106,0.92,221.086,0.0,-0.783
1932,1,6,42,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,156.667,0.916,221.378,0.0,-0.783
1932,1,7,52,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,196.042,0.894,221.041,0.0,-0.696
1932,1,8,0,0.04,0.969,0.0,0.643,0.0,0.217,0.217,1376.706,0.265,222.879,0.0,-0.217
1932,1,9,62,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,518.258,0.72,220.673,0.0,-0.261
1932,2,0,43,0.12,0.983,0.0,0.724,0.0,0.739,0.739,156.351,0.916,221.369,0.0,-0.739
1932,2,1,23,0.04,0.975,0.0,0.724,0.0,0.217,0.217,726.481,0.611,222.061,0.0,-0.217
1932,2,2,31,0.03,0.975,0.0,0.724,0.0,0.174,0.174,704.359,0.622,221.788,0.0,-0.174
1932,2,3,41,-0.02,0.973,0.0,0.722,0.0,0.13,0.13,684.324,0.632,221.438,0.0,-0.13
1932,2,4,41,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,158.076,0.915,221.415,0.0,-0.783
1932,2,5,22,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,402.314,0.784,222.085,0.0,-0.565
1932,2,6,56,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,144.578,0.922,220.899,0.0,-0.783
1932,2,7,55,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,193.527,0.896,220.94,0.0,-0.696
1932,2,8,16,-0.02,0.973,0.0,0.722,0.0,0.13,0.13,978.062,0.476,222.3,0.0,-0.13
1932,2,9,32,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,631.888,0.661,221.726,0.0,-0.261
1932,3,0,68,0.03,0.975,0.0,0.724,0.0,0.348,0.348,562.195,0.696,220.471,0.0,-0.348
1932,3,1,26,0.04,0.975,0.0,0.724,0.0,0.217,0.217,690.284,0.63,221.951,0.0,-0.217
1932,3,2,56,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,432.365,0.767,220.907,0.0,-0.391
1932,3,3,25,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,697.896,0.626,221.976,0.0,-0.261
1932,3,4,77,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.925,0.923,220.172,0.0,-0.783
1932,3,5,41,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,158.36,0.915,221.422,0.0,-0.783
1932,3,6,24,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,587.362,0.685,222.034,0.0,-0.391
1932,3,7,56,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,144.641,0.922,220.903,0.0,-0.783
1932,3,8,43,0.05,0.975,0.0,0.724,0.0,0.304,0.304,518.634,0.721,221.368,0.0,-0.304
1932,3,9,53,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,533.683,0.713,221.001,0.0,-0.261
1932,4,0,87,0.05,0.975,0.0,0.724,0.0,0.87,0.87,495.416,0.732,219.804,0.0,-0.87
1932,4,1,50,-0.01,0.973,0.0,0.722,0.0,0.087,0.087,688.299,0.629,221.107,0.0,-0.087
1932,4,2,67,0.02,0.973,0.0,0.722,0.0,0.261,0.261,608.756,0.671,220.511,0.0,-0.261
1932,4,3,64,-0.0,0.973,0.0,0.722,0.0,0.174,0.174,702.834,0.621,220.604,0.0,-0.174
1932,4,4,82,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,145.8,0.921,219.969,0.0,-0.783
1932,4,5,43,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,155.767,0.916,221.353,0.0,-0.783
1932,4,6,71,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,235.638,0.873,220.37,0.0,-0.652
1932,4,7,74,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,236.415,0.872,220.277,0.0,-0.652
1932,4,8,49,0.05,0.975,0.0,0.724,0.0,0.304,0.304,495.863,0.733,221.143,0.0,-0.304
1932,4,9,90,-0.04,0.973,0.0,0.722,0.0,0.522,0.522,552.628,0.701,219.722,0.0,-0.522
1932,5,0,90,0.08,0.973,0.0,0.719,0.0,0.826,0.826,352.62,0.809,219.722,0.0,-0.826
1932,5,1,79,0.02,0.973,0.0,0.722,0.0,0.391,0.391,619.374,0.665,220.09,0.0,-0.391
1932,5,2,16,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,835.394,0.553,222.312,0.0,-0.261
1932,5,3,58,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,522.954,0.718,220.81,0.0,-0.261
1932,5,4,71,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.522,0.924,220.386,0.0,-0.783
1932,5,5,27,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,498.315,0.733,221.929,0.0,-0.435
1932,5,6,36,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,165.703,0.911,221.588,0.0,-0.783
1932,5,7,65,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,376.46,0.797,220.59,0.0,-0.435
1932,5,8,49,0.12,0.983,0.0,0.724,0.0,0.783,0.783,149.46,0.92,221.143,0.0,-0.783
1932,5,9,90,0.05,0.975,0.0,0.724,0.0,0.913,0.913,502.727,0.728,219.722,0.0,-0.913
1932,6,0,76,0.06,0.975,0.0,0.724,0.0,0.522,0.522,425.994,0.77,220.209,0.0,-0.522
1932,6,1,87,0.04,0.975,0.0,0.724,0.0,0.652,0.652,544.755,0.705,219.803,0.0,-0.652
1932,6,2,51,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,392.731,0.789,221.071,0.0,-0.435
1932,6,3,59,-0.03,0.973,0.0,0.722,0.0,0.174,0.174,569.725,0.693,220.802,0.0,-0.174
1932,6,4,41,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,368.635,0.802,221.424,0.0,-0.522
1932,6,5,42,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,157.392,0.915,221.397,0.0,-0.783
1932,6,6,73,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,376.896,0.796,220.315,0.0,-0.435
1932,6,7,38,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,162.657,0.913,221.524,0.0,-0.783
1932,6,8,90,0.12,0.983,0.0,0.724,0.0,0.87,0.87,151.529,0.918,219.722,0.0,-0.87
1932,6,9,56,0.08,0.973,0.0,0.719,0.0,0.478,0.478,336.971,0.818,220.913,0.0,-0.478
1932,7,0,90,0.05,0.975,0.0,0.724,0.0,0.913,0.913,502.727,0.728,219.722,0.0,-0.913
1932,7,1,85,0.09,0.973,0.0,0.719,0.0,0.696,0.696,294.117,0.841,219.89,0.0,-0.696
1932,7,2,56,-0.01,0.973,0.0,0.722,0.0,0.13,0.13,668.56,0.64,220.881,0.0,-0.13
1932,7,3,25,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,695.478,0.627,221.968,0.0,-0.261
1932,7,4,26,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,443.019,0.762,221.964,0.0,-0.522
1932,7,5,47,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.416,0.919,221.216,0.0,-0.783
1932,7,6,81,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,241.519,0.869,220.009,0.0,-0.652
1932,7,7,39,0.0,0.973,0.0,0.722,0.0,0.0,0.0,797.553,0.571,221.482,0.0,-0.0
1932,7,8,90,0.12,0.983,0.0,0.724,0.0,0.87,0.87,151.529,0.918,219.722,0.0,-0.87
1932,7,9,90,-0.01,0.973,0.0,0.722,0.0,0.565,0.565,701.922,0.62,219.722,0.0,-0.565
1932,8,0,90,0.12,0.983,0.0,0.724,0.0,0.87,0.87,151.529,0.918,219.722,0.0,-0.87
1932,8,1,82,0.08,0.973,0.0,0.719,0.0,0.652,0.652,338.875,0.817,219.979,0.0,-0.652
1932,8,2,76,0.03,0.975,0.0,0.724,0.0,0.478,0.478,567.207,0.693,220.199,0.0,-0.478
1932,8,3,17,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,817.059,0.562,222.277,0.0,-0.261
1932,8,4,26,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,190.378,0.898,221.964,0.0,-0.783
1932,8,5,43,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,155.231,0.917,221.337,0.0,-0.783
1932,8,6,15,0.0,0.973,0.0,0.722,0.0,0.0,0.0,1159.96,0.379,222.345,0.0,-0.0
1932,8,7,43,-0.02,0.973,0.0,0.722,0.0,0.13,0.13,669.834,0.64,221.349,0.0,-0.13
1932,8,8,84,0.05,0.975,0.0,0.724,0.0,0.783,0.783,487.809,0.736,219.905,0.0,-0.783
1932,8,9,71,-0.03,0.973,0.0,0.722,0.0,0.217,0.217,562.724,0.696,220.382,0.0,-0.217
1932,9,0,90,0.06,0.975,0.0,0.724,0.0,0.739,0.739,452.759,0.755,219.722,0.0,-0.739
1932,9,1,69,0.06,0.975,0.0,0.724,0.0,0.522,0.522,422.552,0.772,220.438,0.0,-0.522
1932,9,2,76,0.03,0.975,0.0,0.724,0.0,0.478,0.478,567.207,0.693,220.199,0.0,-0.478
1932,9,3,38,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,592.145,0.682,221.518,0.0,-0.261
1932,9,4,12,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,825.105,0.558,222.435,0.0,-0.304
1932,9,5,19,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,212.881,0.886,222.189,0.0,-0.783
1932,9,6,81,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,289.628,0.843,220.009,0.0,-0.565
1932,9,7,83,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,388.666,0.79,219.945,0.0,-0.435
1932,9,8,90,0.07,0.973,0.0,0.719,0.0,0.739,0.739,402.724,0.782,219.722,0.0,-0.739
1932,9,9,78,0.12,0.983,0.0,0.724,0.0,0.783,0.783,143.466,0.922,220.124,0.0,-0.783
1932,10,0,90,-0.02,0.973,0.0,0.722,0.0,0.522,0.522,652.225,0.647,219.722,0.0,-0.522
1932,10,1,90,0.09,0.973,0.0,0.719,0.0,0.783,0.783,302.449,0.836,219.722,0.0,-0.783
1932,10,2,74,0.03,0.975,0.0,0.724,0.0,0.348,0.348,565.17,0.695,220.261,0.0,-0.348
1932,10,3,0,0.04,0.969,0.0,0.643,0.0,0.217,0.217,1376.706,0.265,222.879,0.0,-0.217
1932,10,4,48,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,150.157,0.919,221.17,0.0,-0.783
1932,10,5,39,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,321.469,0.827,221.488,0.0,-0.565
1932,10,6,76,0.0,0.973,0.0,0.722,0.0,0.391,0.391,707.445,0.618,220.202,0.0,-0.391
1932,10,7,41,0.0,0.973,0.0,0.722,0.0,0.043,0.043,787.983,0.576,221.435,0.0,-0.043
1932,10,8,83,0.0,0.973,0.0,0.722,0.0,0.478,0.478,724.235,0.608,219.957,0.0,-0.478
1932,10,9,74,-0.02,0.973,0.0,0.722,0.0,0.304,0.304,612.184,0.669,220.251,0.0,-0.304
